Movie_id,Movie_Name,Storyline,Budget,Language,Revenue,Image,Rating,Genre1,Genre2,Genre3,Cast1,Cast2,Cast3
638,On the Other Side of the Tracks,Two mismatched cops team up to investigate the murder of a business mogul's wife.,0,French,25109572,https://image.tmdb.org/t/p/w220_and_h330_face/lJSNu2WJ5PGuEnyD8mfSVp5yY0H.jpg,55,Comedy,Action,Crime,Omar Sy,Laurent Lafitte,Sabrina Ouazani
639,Grudge,"Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues.",0,Turkish,0,https://image.tmdb.org/t/p/w220_and_h330_face/6fhqb5JegWJGMuomR3Jqmo0Skqn.jpg,64,Thriller,unknown,unknown,Yılmaz Erdoğan,Ahmet Mümtaz Taylan,Duygu Sarişin
640,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",250000000,English,958400000,https://image.tmdb.org/t/p/w220_and_h330_face/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,76,Fantasy,Adventure,Action,Ian McKellen,Martin Freeman,Richard Armitage
642,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",155000000,English,440603537,https://image.tmdb.org/t/p/w220_and_h330_face/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,59,Science Fiction,Action,Thriller,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke
643,Ice Age: Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",95000000,English,877244782,https://image.tmdb.org/t/p/w220_and_h330_face/u7AtlVoHCiwKznUvMqmsc3WWK4q.jpg,63,Animation,Comedy,Adventure,Ray Romano,John Leguizamo,Denis Leary
644,The Lion King II: Simba's Pride,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/sWR1x6UCMCGN9xEf8RGhPS934X0.jpg,70,Family,Adventure,Animation,Matthew Broderick,Neve Campbell,Jason Marsden
645,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",150000000,English,1023784195,https://image.tmdb.org/t/p/w220_and_h330_face/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,77,Animation,Adventure,Family,Jason Bateman,Ginnifer Goodwin,Idris Elba
646,Pacific Rim: Uprising,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",150000000,English,290061297,https://image.tmdb.org/t/p/w220_and_h330_face/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg,61,Action,Fantasy,Science Fiction,John Boyega,Scott Eastwood,Cailee Spaeny
647,Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",0,English,31220247,https://image.tmdb.org/t/p/w220_and_h330_face/zeD4PabP6099gpE0STWJrJrCBCs.jpg,65,Thriller,Action,Crime,Liam Neeson,Kate Walsh,Jai Courtney
648,Overboard,"A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.",12000000,English,91244913,https://image.tmdb.org/t/p/w220_and_h330_face/41Rzkgo9y7n6BNGD6O8j0LVs8Yu.jpg,67,Romance,Comedy,unknown,Anna Faris,Eugenio Derbez,Eva Longoria
649,Garota da Moto,We don't have an overview translated in English. Help us expand our database by adding one.,0,Portuguese,0,https://image.tmdb.org/t/p/w220_and_h330_face/sYoWjGSW4XQRWwFDHf3kdMqtCLr.jpg,53,Action,unknown,unknown,Maria Casadevall,Kevin Vechiatto,Naruna Costa
